Name,Ratting,Customers,Price
"DOQAUS Bluetooth Headphones Over Ear, [52 Hrs Playtime] Wireless Headphones, 3 EQ Modes, Foldable Hi-Fi Stereo Bass Headphones, Soft Memory Protein Earmuffs, Built-in Mic ＆ Wired Mode for TV/PC/Phone",4.4 out of 5 stars,"3,918",£36.99
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",4.6 out of 5 stars,"3,518",£39.95
"6S Wireless Headphones Over Ear,Hi-Fi Stereo Foldable Wireless Stereo Headsets Earbuds with Built-in Mic, Micro SD/TF, FM for iPhone/Samsung/iPad/PC (Black &Gold)",4.1 out of 5 stars,"2,309",£16.99
Sony MDRZX310 Foldable Headphones - Metallic Black,4.5 out of 5 stars,"11,526",
Sony MDRZX310L.AE  Foldable Headphones - Metallic Blue,4.5 out of 5 stars,"11,526",£16.99
"Wireless Bluetooth Headphones Over Ear, DOQAUS 52 Hrs Foldable Headphones with 3 EQ Modes, Hi-Fi Stereo Comfortable Earpads Bluetooth Headsets Wired Mode with Mic for Cellphone PC TV (Shadow Grey)",4.4 out of 5 stars,"3,918",£36.99
"Bluetooth 5.0 Headphones, Mpow S10 Wireless Sports Headphones IPX7 Waterproof, 9H Playtime, Magnetic Design, HD Stereo Sound, In Ear Wireless Earphones with Noise-Cancelling Mic for Work, Home Office",4.4 out of 5 stars,"3,123",£23.99
"Wireless Headphones, Boltune Bluetooth 5.0 Stereo Headphones True Wireless in-Ear Earbuds IPX7 Waterproof Wireless Eardphones with Quick Charging Case(Built-in Mic, 3D Stereo, 40Hrs Playtime)",4.7 out of 5 stars,"9,329",£35.99
Orangeck Wireless Headphones Bluetooth 5.0 Headphones Wireless Earphones Sports Earbuds 120 Hours Playtime with Mic 3D Deep Bass Stereo LED Display IPX7 Waterproof Touch Control for Android & iOS,4.1 out of 5 stars,918,£26.99
"Betron DC950 Earphone, Noise Isolating, Powerful Bass, Replaceable Earbuds, Portable In Ear Headphones, Compatible with iPhone, iPad, iPod, Samsung, MP3 Players and Android Devices, Black",4.3 out of 5 stars,"5,662",£10.99
"Sony MDRZX110B.AE Lightweight Foldable On-Ear Headphones Compatible with Smartphones, Tablets, Laptops, and MP3 Devices - Black",4.4 out of 5 stars,"17,451",£14.99
"Wireless Bluetooth Over Ear Stereo Foldable Headphones,Wireless and Wired Mode Headsets with Soft Memory-Protein Earmuffs,Built-in Mic for Mobile Phone PC Laptop(Rose)",4.3 out of 5 stars,"4,231",£16.99
"ENACFIRE Wireless Headphones, Future Bluetooth Headphones 4H Playtime Deep Bass Stereo Sound 15-20m Bluetooth Range V5.0 True Wireless Earphones Earbuds With Mic, Elegant Portable Charging Case",4.5 out of 5 stars,"9,155",£34.99
"Numark HF125 - Ultra-Portable Professional DJ Headphones with 6 ft Cable, 40 mm Drivers for Extended Response & Closed Back Design for Superior Isolation",4.4 out of 5 stars,"2,163",
"Wireless Earbuds, Mpow Bluetooth Earbuds for Sport w/Touch Control/Mono & Twin Modes, in-Ear Bluetooth Earphones w/Bass+ Sound/ 40 Hrs, IPX7 Waterproof Bluetooth Headphones for Cellphones/Workout,etc",4.7 out of 5 stars,"1,362",£23.80
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Blue",4.6 out of 5 stars,"3,518",£37.99
"Mpow Noise Cancelling Headphones, 35Hrs Bluetooth 5.0 Wireless Headphones Over Ear with Quick Charge, Hi-Fi Deep Bass Wireless Headset with CVC 8.0 Mic for Home Office Online Class Cellphone PC TV",4.8 out of 5 stars,699,£39.99
"Noise Cancelling Headphones, Boltune Bluetooth 5.0 Wireless Over Ear Headset with Hi-Fi Deep Bass, 30 Hrs Playtime Bluetooth Headphones with CVC 8.0 Mic for Travel Work TV PC Cellphone",4.7 out of 5 stars,"2,154",£45.99
"Moosen Bluetooth Wireless Headphones, TWS Stereo Sound CVC8.0 135 Hours Playtime LED Display Wireless Earphones with 3000mAh Charging Case, One Step Pairing, IPX7 Waterproof Earbuds for iOS Android",4.7 out of 5 stars,564,£36.99
"Betron S2 Wireless Headphones, Bluetooth On Ear Headphones With Mic And Remote Controls, Heavy Bass Sound, Adjustable Headband, Hands-Free Call, Including Wired Mode",4.3 out of 5 stars,"3,131",£22.99
"Betron BN15 Wireless Headphones, On-Ear Foldable Bluetooth Headphone Set, Comfortable Earpads, Bass Driven Sound, With Mic and On-Board Volume Control Compatible with iPhone, iPod, Samsung, Black",4.1 out of 5 stars,"3,595",£22.99
"Betron B25 Earphones, Noise Isolating In-Ear Wired Headphones with Powerful Bass and Pure Sound, Tangle-Free, Compatible with iPhone, iPad, iPod, Samsung Smartphones and Tablets, Black",4.2 out of 5 stars,"15,051",£9.99
